Time [s],V_BATT [V],V_5V [V],V_3V3 [V]
0.0,12.28,4.98,3.22
0.3,12.26,4.98,3.24
0.6,12.26,4.99,3.13
0.9,12.25,4.98,3.19
1.2,12.25,4.99,3.18
1.5,12.26,4.99,3.18
1.81,12.26,4.99,3.04
2.11,12.25,4.97,3.16
2.41,12.23,4.98,3.31
2.71,12.25,4.98,3.23
3.01,12.25,4.99,3.31
3.31,12.25,4.99,3.15
3.61,12.25,4.99,3.21
3.91,12.25,4.98,3.23
4.21,12.23,5.01,3.16
4.51,12.26,4.98,3.25
4.82,12.25,4.98,3.23
5.12,12.25,4.99,3.18
5.42,12.23,4.99,3.22
5.72,12.25,4.99,3.21
6.02,12.23,4.98,3.26
6.32,12.21,4.99,3.19
6.62,12.28,4.97,3.2
6.92,12.23,4.99,3.18
7.22,12.25,4.99,3.19
7.53,12.25,4.99,3.17
7.83,12.25,4.99,3.27
8.13,12.25,4.97,3.24
8.43,12.25,4.99,3.18
8.73,12.25,4.99,3.01
9.03,12.25,4.98,3.18
9.33,12.25,4.98,3.22
9.63,12.23,5.01,3.34
9.93,12.23,4.99,3.3
10.23,12.25,4.99,3.23
10.53,12.25,5.01,3.21
10.84,12.25,4.99,3.24
11.14,12.23,4.98,3.17
11.44,12.26,4.99,3.21
11.74,12.23,5.02,3.2
12.04,12.25,4.98,3.25
12.34,12.25,4.98,3.24
12.64,12.25,4.98,3.23
12.94,12.26,4.99,3.26
13.24,12.25,5.02,3.27
13.55,12.26,5.01,3.25
13.85,12.23,4.99,3.18
14.15,12.25,5.01,3.2
14.45,12.25,4.99,3.26
14.75,12.26,4.99,3.2
15.05,12.23,4.97,3.2
15.35,12.25,4.99,3.21
15.65,12.25,4.98,3.14
15.95,12.25,4.99,3.23
16.25,12.26,4.99,3.13
16.56,12.23,4.99,3.16
16.86,12.25,4.97,3.24
17.16,12.23,4.98,3.24
17.46,12.23,4.97,3.22
17.76,12.23,4.98,3.23
18.06,12.26,4.97,3.22
18.36,12.25,4.99,3.2
18.66,12.23,5.03,3.22
18.96,12.23,4.99,3.2
19.26,12.23,4.98,3.24
19.57,12.26,4.94,3.24
19.87,12.26,4.99,3.16
20.17,12.23,4.98,3.2
20.47,12.25,4.99,3.14
20.77,12.25,4.99,3.23
21.07,12.25,4.99,3.4
21.37,12.26,5.03,3.14
21.67,12.26,5.02,3.1
21.97,12.26,4.99,2.94
22.27,12.25,5.03,3.25
22.58,12.25,4.97,3.17
22.88,12.26,4.98,3.18
23.18,12.23,4.98,3.2
23.48,12.21,4.99,3.23
23.78,12.25,4.98,3.24
24.08,12.25,5.02,3.21
24.38,12.26,4.98,3.22
24.68,12.21,5.02,3.18
24.98,12.26,4.98,3.13
25.28,12.25,5.01,3.23
25.58,12.25,4.99,3.19
25.89,12.25,4.97,3.25
26.19,12.23,4.97,3.22
26.49,12.23,5.01,3.19
26.79,12.28,5.01,3.2
27.09,12.25,4.98,3.16
27.39,12.25,4.99,3.27
27.69,12.26,4.97,3.18
27.99,12.26,5.01,3.25
28.29,12.25,4.99,3.24
28.59,12.25,5.01,3.23
28.9,12.23,5.01,3.3
29.2,12.23,4.99,3.16
29.5,12.25,4.97,3.23
29.8,12.23,4.98,3.03
30.1,12.25,4.98,3.25
30.4,12.28,5.07,3.24
30.7,12.25,4.97,3.18
31.0,12.25,4.98,3.23
31.3,12.25,4.98,3.23
31.6,12.25,4.99,3.11
31.91,12.25,4.97,3.19
32.21,12.26,4.97,3.17
32.51,12.25,4.99,3.2
32.81,12.23,4.99,3.24
33.11,12.25,4.99,3.22
33.41,12.21,4.99,3.36
33.71,12.25,4.98,3.19
34.01,12.25,4.97,3.12
34.31,12.25,4.97,3.19
34.62,12.21,4.99,3.2
34.92,12.26,5.02,3.22
35.22,12.25,4.98,3.18
35.52,12.26,4.99,3.21
35.82,12.25,5.02,3.55
36.12,12.26,4.99,3.23
36.42,12.21,4.98,3.15
36.72,12.26,4.99,3.23
37.02,12.26,4.99,3.22
37.32,12.23,4.98,3.18
37.62,12.23,4.98,3.26
37.93,12.26,4.99,3.25
38.23,12.25,5.01,3.22
38.53,12.26,4.98,3.14
38.83,12.25,4.98,3.23
39.13,12.25,4.99,3.16
39.43,12.26,5.01,3.18
39.73,12.26,4.98,3.24
40.03,12.26,4.97,3.26
40.33,12.28,5.02,3.26
40.63,12.23,4.99,3.21
40.94,12.26,4.99,3.14
41.24,12.26,4.99,3.22
41.54,12.25,4.99,3.21
41.84,12.25,4.95,3.14
42.14,12.25,4.98,3.23
42.44,12.25,4.99,3.19
42.74,12.23,5.01,3.1
43.04,12.25,5.03,3.24
43.34,12.23,4.98,3.23
43.65,12.21,4.99,3.02
43.95,12.25,4.98,3.24
44.25,12.23,4.97,3.22
44.55,12.21,4.99,3.22
44.85,12.28,4.98,3.2
45.15,12.21,4.99,3.28
45.45,12.25,4.98,3.16
45.75,12.26,4.99,3.21
46.05,12.25,4.98,3.23
46.35,12.25,4.98,3.2
46.65,12.25,4.95,3.09
46.96,12.25,4.99,3.25
47.26,12.23,4.99,3.18
47.56,12.26,4.98,3.24
47.86,12.28,4.99,3.33
48.16,12.26,4.98,3.27
48.46,12.26,4.98,3.21
48.76,12.25,4.99,3.2
49.06,12.26,4.99,3.22
49.36,12.23,5.01,3.4
49.67,12.19,4.98,3.22
49.97,12.23,4.98,3.21
50.27,12.25,4.99,3.16
50.57,12.25,4.97,3.17
50.87,12.25,5.01,3.15
51.17,12.25,5.01,3.25
51.47,12.25,4.99,3.23
51.77,12.23,5.03,3.25
52.07,12.25,4.98,3.15
52.37,12.23,4.98,3.19
52.67,12.23,4.98,3.16
52.98,12.23,4.99,3.18
53.28,12.25,4.98,3.19
53.58,12.25,4.98,3.23
53.88,12.23,4.97,3.18
54.18,12.25,5.02,3.24
54.48,12.23,4.98,3.16
54.78,12.23,5.01,3.19
55.08,12.25,4.99,3.14
55.38,12.25,4.94,3.2
55.69,12.25,4.97,3.23
55.99,12.26,4.98,3.25
56.29,12.25,4.91,3.14
56.59,12.26,4.98,3.13
56.89,12.26,4.98,3.2
57.19,12.26,4.98,3.24
57.49,12.26,4.99,3.15
57.79,12.25,4.97,3.22
58.09,12.23,4.98,3.17
58.39,12.26,4.97,3.21
58.69,12.23,4.98,3.18
59.0,12.25,4.98,3.23
59.3,12.26,4.99,3.21
59.6,12.23,4.99,3.27
59.9,12.25,5.01,3.26
60.2,12.25,4.98,3.21
60.5,12.26,5.01,3.27
60.8,12.25,4.99,3.25
61.1,12.26,4.99,3.17
61.4,12.25,4.98,3.22
61.71,12.23,4.97,3.28
62.01,12.25,4.99,3.18
62.31,12.25,5.02,3.29
62.61,12.25,5.01,3.21
62.91,12.25,4.97,3.58
63.21,12.23,4.98,3.17
63.51,12.23,4.98,3.15
63.81,12.26,4.91,3.23
64.11,12.26,5.04,3.17
64.41,12.26,4.99,3.15
64.71,12.23,5.01,3.21
65.02,12.28,4.98,3.26
65.32,12.26,4.98,3.16
65.62,12.23,5.01,3.24
65.92,12.26,4.98,3.16
66.22,12.26,4.99,3.19
66.52,12.25,4.98,3.16
66.82,12.23,5.01,3.21
67.12,12.26,4.99,3.25
67.42,12.21,4.99,3.16
67.72,12.23,4.98,3.25
68.03,12.26,4.99,3.29
68.33,12.23,4.99,3.24
68.63,12.25,5.01,3.29
68.93,12.21,4.99,3.18
69.23,12.25,4.98,3.23
69.53,12.25,4.99,3.19
69.83,12.26,4.98,3.16
70.13,12.25,4.99,3.2
70.43,12.25,4.99,3.17
70.74,12.21,5.01,3.25
71.04,12.26,4.99,3.26
71.34,12.23,4.99,3.23
71.64,12.25,4.98,3.19
71.94,12.26,5.01,3.22
72.24,12.26,4.99,3.16
72.54,12.26,4.98,3.26
72.84,12.25,4.99,3.17
73.14,12.26,5.02,3.2
73.44,12.23,4.98,3.22
73.75,12.23,4.98,3.12
74.05,12.25,5.02,3.18
74.35,12.21,4.98,3.21
74.65,12.3,4.98,3.26
74.95,12.26,4.99,3.16
75.25,12.25,4.98,3.11
75.55,12.26,4.99,3.14
75.85,12.25,5.01,3.22
